Date,ICI,ESI,MDS,CO,EIPR,KOSPI,LSIRD
2017. 10,1.2,99.1,111.8,12314.3,101.2,2409,0.84
2017. 11,-0.4,99.8,109.6,11483.9,100.5,2462.7,0.95
2017. 12,-5.7,100.9,108.4,11963.2,99.8,2494.7,0.97
2018. 01,-9.1,99.9,111.6,14320.4,98.7,2507.4,0.95
2018. 02,-10.8,99.5,113.8,13973.4,98.4,2475.9,0.93
2018. 03,-10.7,98.1,114.3,13259.4,97.6,2470.5,1
2018. 04,-10.1,98.1,111.9,10017.9,96.9,2449.6,1.01
2018. 05,-7.7,98.4,111.2,11599.5,95.6,2457,1
2018. 06,-5.8,99.3,109.8,11782.4,94.8,2438,0.98
2018. 07,-5,97.8,109.2,12557.8,94.7,2380,0.94
2018. 08,-5.7,95.9,106.6,10712.1,95,2320.9,0.85
2018. 09,-5.3,95.5,105.3,10891.3,94.9,2291.8,0.73
2018. 10,-4.1,95.3,103,10389.2,94.2,2248.2,0.66
2018. 11,-6,94.4,101.8,11121.3,93.9,2181.4,0.59
2018. 12,-6.4,92.6,100.3,11614.4,94.4,2102.3,0.43
2019. 01,-6.6,91.5,98.4,12527.4,94.9,2085.1,0.26
2019. 02,-5.9,92.6,95.7,11406.9,94.3,2127.4,0.12
2019. 03,-3.7,93.4,94.3,11749.3,92.9,2158,0.11
2019. 04,-4.3,95.4,94.6,11659.3,91.6,2194.7,0.07
2019. 05,-5.2,94.2,94.2,12351,90.9,2153.6,0.02
2019. 06,-6.6,93.6,94,11409.1,91.2,2134.8,-0.08
2019. 07,-7,91.5,92.5,10128.2,91.4,2090.6,-0.16
2019. 08,-5.2,90.4,92.6,9683.9,91.7,2043,-0.25
2019. 09,-5.2,90,93.6,11052.6,91.4,2023,-0.23
2019. 10,-5.2,90.5,95.8,12984.6,91.5,2018.4,-0.13
2019. 11,-4.6,91.6,96.4,14350.5,91,2079.9,0.08
2019. 12,-0.3,92,99.8,14185.1,90.5,2113.9,0.2
2020. 01,0.4,93.5,99,14008.2,89.9,2159.7,0.24
2020. 02,-1,91.9,98.2,13427.8,90.4,2172.5,0.18
2020. 03,-5,82.2,94.8,11945.1,92.3,2052.4,0.21
2020. 04,-6.1,68.9,96.9,10254.8,95.4,1934.5,0.31
2020. 05,-8.2,59.1,97.6,11063.4,96.7,1867.2,0.41
